accuracy,loss,val_accuracy,val_loss,learning_rate
0.18293362855911255,3.192830801010132,0.2942708432674408,2.4472227096557617,0.0010000000474974513
0.4032348096370697,2.0336925983428955,0.4166666567325592,1.9600642919540405,0.0010000000474974513
0.49804797768592834,1.6805154085159302,0.546875,1.5412613153457642,0.0010000000474974513
0.547685444355011,1.480398178100586,0.5911458134651184,1.3886418342590332,0.0010000000474974513
0.6118237376213074,1.2948181629180908,0.6041666865348816,1.351218581199646,0.0010000000474974513
0.6045733690261841,1.2563133239746094,0.6328125,1.2634097337722778,0.0010000000474974513
0.6564416885375977,1.1087146997451782,0.6197916865348816,1.227225422859192,0.0010000000474974513
0.6670385003089905,1.0556819438934326,0.6145833134651184,1.215606689453125,0.0010000000474974513
0.6826547980308533,1.0227417945861816,0.640625,1.14877188205719,0.0010000000474974513
0.6915783882141113,1.0186127424240112,0.6276041865348816,1.1750787496566772,0.0010000000474974513
0.7021751403808594,0.9184484481811523,0.6380208134651184,1.1417851448059082,0.0010000000474974513
0.6865588426589966,0.9505624175071716,0.6276041865348816,1.208839774131775,0.0010000000474974513
0.706636905670166,0.9217957258224487,0.6380208134651184,1.181124210357666,0.0010000000474974513
0.7417735457420349,0.8347889184951782,0.6640625,1.0999529361724854,0.0010000000474974513
0.7222532033920288,0.8499844074249268,0.6614583134651184,1.1080341339111328,0.0010000000474974513
0.7373117804527283,0.8245688080787659,0.6328125,1.1498515605926514,0.0010000000474974513
0.7328499555587769,0.839815080165863,0.6354166865348816,1.1545207500457764,0.0010000000474974513
0.7629671096801758,0.7789547443389893,0.6666666865348816,1.0871518850326538,0.0005000000237487257
0.7612939476966858,0.7531404495239258,0.6796875,1.0607181787490845,0.0005000000237487257
0.7774679064750671,0.7138132452964783,0.671875,1.0897506475448608,0.0005000000237487257
0.254322350025177,3.2276437282562256,0.6640625,1.1150482892990112,9.999999747378752e-06
0.32961517572402954,2.70205020904541,0.6458333134651184,1.328063726425171,9.999999747378752e-06
0.37646403908729553,2.405944347381592,0.6041666865348816,1.5154356956481934,9.999999747378752e-06
0.3987730145454407,2.2087364196777344,0.6015625,1.6085354089736938,9.999999747378752e-06
0.4244283437728882,2.0854671001434326,0.5963541865348816,1.6257880926132202,4.999999873689376e-06
0.45733407139778137,1.9529175758361816,0.5989583134651184,1.6292881965637207,4.999999873689376e-06
0.4718349277973175,1.8973286151885986,0.5989583134651184,1.5998824834823608,4.999999873689376e-06
